,JKT,JKM,GRS,HARGA,LT,LB
1009,6,3,2,1.1,146,150
1011,3,2,1,0.99,117,120
1012,2,2,2,0.915,100,90
1013,3,2,1,1.65,327,150
1014,4,2,1,1.1,120,200
1015,7,4,1,2.0,144,250
1016,4,4,1,1.65,122,185
1017,2,1,0,0.585,64,40
1018,4,3,1,1.99,136,160
1020,3,2,1,1.3,120,120
1021,5,4,1,1.85,130,170
1022,3,3,2,1.17,95,135
1023,3,3,0,2.5,185,175
1025,3,2,1,0.945,103,75
1026,3,2,1,1.15,96,135
1027,3,3,1,1.6,186,245
1029,4,2,1,0.999,82,85
1031,3,2,2,1.25,150,120
1032,3,2,1,1.4,111,110
1033,3,2,1,1.6,176,154
1034,3,2,1,1.89,353,160
1035,3,1,1,0.6,94,60
1036,3,1,1,2.5,230,120
1038,1,1,1,1.2,126,90
1039,4,2,0,1.85,353,160
1040,5,5,3,3.15,424,280
1041,4,2,2,0.999,82,85
1044,2,1,2,0.785,90,50
1045,3,2,1,1.8,147,220
1047,3,2,1,0.79,118,150
1048,2,1,1,1.12,176,140
1049,3,2,2,0.945,103,75
1052,3,2,1,1.45,136,120
1053,2,2,1,0.95,105,70
1054,5,4,1,2.2,176,250
1055,3,2,0,1.5,294,100
1056,6,4,1,3.35,300,200
1057,2,2,1,1.15,84,70
1058,3,3,3,3.75,280,300
1059,2,1,1,0.8,88,60
1060,3,2,1,0.9,101,70
1061,4,2,0,0.9,160,140
1063,5,3,1,1.15,180,180
1064,3,2,3,2.5,300,200
1067,3,3,2,1.25,85,120
1068,2,1,1,0.775,90,50
1069,3,2,1,1.45,137,105
1070,3,2,1,1.25,176,150
1071,3,1,1,0.9,104,115
1072,3,2,2,3.65,480,200
1073,3,3,1,1.15,100,105
1075,2,2,1,0.75,100,70
1076,3,3,0,1.2,70,115
1077,5,3,1,1.3,150,150
1078,2,2,1,0.625,94,60
1079,2,1,0,0.85,163,55
1081,3,2,1,1.4,137,105
1082,4,2,1,0.99,100,120
1083,3,2,0,1.2,130,110
1084,3,2,0,1.2,150,95
1085,2,1,1,0.75,107,50
1086,6,3,0,1.3,150,150
1087,4,3,2,1.2,140,115
1088,3,3,1,1.48,120,150
1089,2,2,1,0.957,128,120
1090,3,2,2,1.2,150,95
1091,4,3,1,0.999,100,120
1092,2,2,0,0.85,90,54
1093,4,3,2,1.95,283,115
1094,2,1,1,0.559,90,38
1095,4,2,1,1.3,170,72
1096,2,1,1,0.63,98,45
1097,2,1,1,0.875,98,54
1098,4,2,1,0.85,66,100
1099,3,2,1,0.95,116,80
1100,3,2,1,1.69,180,120
1101,2,1,1,0.675,90,36
1102,2,1,2,1.25,119,63
1103,3,3,2,1.5,132,164
1104,3,2,1,2.2,155,150
1105,4,3,0,1.4,120,110
1106,5,2,0,0.975,110,90
1108,3,2,0,2.5,230,250
1109,4,2,2,2.75,306,250
1110,2,1,1,1.2,207,54
1111,2,2,1,0.791,98,50
1112,2,1,1,0.675,75,45
1113,3,2,2,0.682,64,60
1114,3,1,2,0.682,64,60
1115,2,2,1,0.481,131,120
1117,6,4,0,5.0,477,371
1118,5,4,1,1.85,133,170
1119,5,3,1,1.2,112,175
1120,3,2,1,1.2,139,104
1121,5,3,0,2.0,300,225
1122,4,2,1,1.5,122,130
1123,5,4,0,1.27,176,150
1124,2,1,0,0.58,72,40
1125,2,1,0,0.6,69,50
1126,4,2,2,1.85,353,160
1127,3,2,1,1.1,90,70
1131,3,2,1,1.25,220,150
1132,2,2,1,2.2,220,150
1134,4,2,1,1.2,102,150
1135,3,3,2,1.95,200,150
1136,3,3,2,1.2,70,115
1137,4,3,2,2.0,200,160
1143,4,3,2,3.0,114,400
1145,3,3,0,2.5,200,200
1146,3,2,1,2.7,220,180
1147,2,1,1,0.75,89,80
1148,2,1,0,0.54,84,48
1149,4,3,1,2.0,133,170
1150,3,2,3,1.8,147,220
1152,7,2,1,2.7,625,320
1155,1,2,2,0.644,68,50
1156,4,2,1,0.9,144,120
1157,4,3,1,1.7,163,200
1158,2,1,2,0.85,90,80
1159,5,3,1,1.6,160,175
1160,2,3,1,1.3,98,136
1162,3,2,8,1.65,327,170
1165,2,1,1,0.61,98,60
1166,5,2,2,1.6,187,180
1168,3,2,1,1.35,111,110
1171,3,3,1,1.2,100,98
1172,2,1,1,0.95,115,40
1174,3,3,2,3.2,300,200
1177,4,3,2,1.45,120,110
1178,5,3,0,2.85,178,220
1179,3,2,0,1.1,90,70
1180,2,1,1,0.75,84,80
1181,2,1,1,0.81,100,50
1182,4,2,2,2.9,370,160
1184,4,5,1,3.5,424,500
1186,6,3,1,2.2,124,200
1188,3,2,0,1.1,149,100
1189,2,1,1,0.595,71,50
1191,2,2,1,0.9,105,60
1192,2,1,1,0.54,84,48
1193,5,4,1,5.0,300,350
1194,4,2,1,1.3,78,100
1195,2,1,1,0.235,72,45
1196,3,2,1,0.324,84,60
1197,5,3,2,4.5,385,430
1198,2,2,2,0.68,87,54
1200,2,1,1,0.95,132,82
1201,2,1,1,1.2,92,80
1203,2,2,1,0.644,68,50
1204,2,1,1,0.55,60,60
1205,2,2,2,0.65,120,100
1206,2,2,1,0.597,60,50
